Site,Lecture_name,Rate,Tag,Language,Level,Teacher,Rate_count,Origin_price,New_price,Url
Inflearn,자바 개발자를 위한 코틀린 입문(Java to Kotlin Starter Guide),4.98989898989899,"프로그래밍 언어,백엔드","Kotlin,Java,객체지향",초급,최태현,99,55000,55000,https://www.inflearn.com/course/java-to-kotlin
Inflearn,자바(Java) 알고리즘 문제풀이 입문: 코딩테스트 대비,4.865979381443299,"알고리즘 · 자료구조,프로그래밍 언어","Java,코딩 테스트",입문,김태원,194,77000,77000,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4-%EC%BD%94%ED%85%8C%EB%8C%80%EB%B9%84
Inflearn,스프링 MVC 1편 - 백엔드 웹 개발 핵심 기술,4.975493533015657,"백엔드,웹 개발","MVC,Spring",초급,김영한,1469,99000,99000,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-mvc-1
Inflearn,실전! 스프링 부트와 JPA 활용1 - 웹 애플리케이션 개발,4.966607036374478,"백엔드,웹 개발","Java,Spring,웹앱,Spring Boot,JPA",초급,김영한,1677,88000,88000,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8-JPA-%ED%99%9C%EC%9A%A9-1
Inflearn,함수형 프로그래밍과 JavaScript ES6+,4.904761904761905,"프로그래밍 언어,웹 개발,프론트엔드","JavaScript,함수형 프로그래밍",초급,유인동,252,55000,55000,https://www.inflearn.com/course/functional-es6
Inflearn,이득우의 언리얼 프로그래밍 Part2 - 언리얼 게임 프레임웍의 이해,5,"게임 프로그래밍,게임 개발","Unreal Engine,언리얼 C++,UE Blueprint",초급,청강문화산업대학교,1,198000,198000,https://www.inflearn.com/course/%EC%9D%B4%EB%93%9D%EC%9A%B0-%EC%96%B8%EB%A6%AC%EC%96%BC-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-part-2
Inflearn,이득우의 언리얼 프로그래밍 Part1 - 언리얼 C++의 이해,5,"게임 프로그래밍,게임 개발","언리얼 C++,Unreal Engine",중급이상,청강문화산업대학교,1,132000,132000,https://www.inflearn.com/course/%EC%9D%B4%EB%93%9D%EC%9A%B0-%EC%96%B8%EB%A6%AC%EC%96%BC-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-part-1
Inflearn,그림으로 쉽게 배우는 자료구조와 알고리즘 (심화편),5,알고리즘 · 자료구조,알고리즘,초급,감자,5,55000,55000,https://www.inflearn.com/course/%EA%B7%B8%EB%A6%BC%EC%9C%BC%EB%A1%9C-%EC%89%BD%EA%B2%8C-%EC%9E%90%EB%A3%8C%EA%B5%AC%EC%A1%B0-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EC%8B%AC%ED%99%94
Inflearn,[게임 프로그래머 입문 올인원] C++ & 자료구조/알고리즘 & STL & 게임 수학 & Windows API & 게임 서버,5,"게임 프로그래밍,알고리즘 · 자료구조,취업 · 이직","C++,UE Blueprint,게임수학,windows-api,네트워크",입문,Rookiss,1,396000,396000,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%A8%B8-%EC%9E%85%EB%AC%B8-%EC%98%AC%EC%9D%B8%EC%9B%90-rookiss
Inflearn,디자인 시스템 with 피그마,5,"UX/UI,프론트엔드,디자인 툴","Figma,Figma Tokens,디자인 시스템,아토믹 디자인",초급,범쌤 ,26,44000,44000,https://www.inflearn.com/course/%EB%94%94%EC%9E%90%EC%9D%B8-%EC%8B%9C%EC%8A%A4%ED%85%9C-with-%ED%94%BC%EA%B7%B8%EB%A7%88
Inflearn,Flutter 초입문 왕초보편,5,모바일 앱 개발,"Flutter,iOS,dart,Android",입문,오준석,8,99000,99000,https://www.inflearn.com/course/%ED%94%8C%EB%9F%AC%ED%84%B0-%EC%B4%88%EC%9E%85%EB%AC%B8-%EC%99%95%EC%B4%88%EB%B3%B4
Inflearn,모바일 웹 퍼블리싱 포트폴리오 with Figma,5,"웹 퍼블리싱,프론트엔드,웹 개발,UX/UI","HTML/CSS,포트폴리오,모바일 디자인,Figma,jQuery",초급,코딩웍스(Coding Works),8,105600,105600,https://www.inflearn.com/course/%EB%AA%A8%EB%B0%94%EC%9D%BC-%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%8B%B1-%ED%8F%AC%ED%8A%B8%ED%8F%B4%EB%A6%AC%EC%98%A4-%ED%94%BC%EA%B7%B8%EB%A7%88
Inflearn,[입문자를 위한 UE5] Part1. 언리얼 엔진 블루프린트,4.886363636363637,"게임 프로그래밍,게임 개발","UE Blueprint,Unreal Engine",입문,Rookiss,44,55000,55000,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC5-%EA%B0%9C%EB%B0%9C%EC%9D%98%EC%A0%95%EC%84%9D-1
Inflearn,앨런 iOS 아이폰 앱 개발 (15개의 앱을 만들면서 근본원리부터 배우는 UIKit),5,모바일 앱 개발,"iOS,Swift",초급,앨런(Allen),6,242000,242000,https://www.inflearn.com/course/ios-uikit-15apps
