title,instructor,description,site,url,price,rating,thumbnail_url,enrollment_count,tags
[라이브/13기] 실리콘밸리에서 날아온 데이터 엔지니어링 스타터 키트 with Python,맥스(한기용),,프로그래머스,https://school.programmers.co.kr/learn/courses/17123/17123-%EB%9D%BC%EC%9D%B4%EB%B8%8C13%EA%B8%B0-%EC%8B%A4%EB%A6%AC%EC%BD%98%EB%B0%B8%EB%A6%AC%EC%97%90%EC%84%9C-%EB%82%A0%EC%95%84%EC%98%A8-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81-%EC%8A%A4%ED%83%80%ED%84%B0-%ED%82%A4%ED%8A%B8-with-python,450000,,https://grepp-cloudfront.s3.ap-northeast-2.amazonaws.com/programmers_imgs/learn/course10505/thumb_course10505.jpg,484,
AI서비스와 함께 누구나 만드는 웹 프로젝트! feat. ChatGPT,정가,,프로그래머스,https://school.programmers.co.kr/learn/courses/17122/17122-ai%EC%84%9C%EB%B9%84%EC%8A%A4%EC%99%80-%ED%95%A8%EA%BB%98-%EB%88%84%EA%B5%AC%EB%82%98-%EB%A7%8C%EB%93%9C%EB%8A%94-%EC%9B%B9-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8-feat-chatgpt,0,,https://asset.programmers.co.kr/production/course_intro/17122/Thumnail_%E1%84%8B%E1%85%B0%E1%86%B8%20%E1%84%91%E1%85%B3%E1%84%85%E1%85%A9%E1%84%8C%E1%85%A6%E1%86%A8%E1%84%90%E1%85%B3%20%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%B42.png,301,"입문,css,html,javascript"
"MariaDB 클라이언트 개발, HeidiSQL",소프트웨어알림장,,프로그래머스,https://school.programmers.co.kr/learn/courses/16668/16668-mariadb-%ED%81%B4%EB%9D%BC%EC%9D%B4%EC%96%B8%ED%8A%B8-%EA%B0%9C%EB%B0%9C-heidisql,9500,,https://asset.programmers.co.kr/production/course_intro/16668/logo_Heidisql_I_1920x1080.png,,"mysql,초급"
[Java/Spring]고양이 사진 검색 사이트 API 과제 풀어보기,마르코,,프로그래머스,https://school.programmers.co.kr/learn/courses/16643/16643-javaspring%EA%B3%A0%EC%96%91%EC%9D%B4-%EC%82%AC%EC%A7%84-%EA%B2%80%EC%83%89-%EC%82%AC%EC%9D%B4%ED%8A%B8-api-%EA%B3%BC%EC%A0%9C-%ED%92%80%EC%96%B4%EB%B3%B4%EA%B8%B0,30000,,https://asset.programmers.co.kr/production/course_intro/16643/%E1%84%86%E1%85%A1%E1%84%85%E1%85%B3%E1%84%8F%E1%85%A9.jpg,13,"java,초급"
파이썬으로 해보는 Spark 프로그래밍 with 프로그래머스,한기용(Max),,프로그래머스,https://school.programmers.co.kr/learn/courses/16510/16510-%ED%8C%8C%EC%9D%B4%EC%8D%AC%EC%9C%BC%EB%A1%9C-%ED%95%B4%EB%B3%B4%EB%8A%94-spark-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-with-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%A8%B8%EC%8A%A4,180000,,https://grepp-programmers.s3.amazonaws.com/production/file_resource/2971/Thumnail_python_with_prgms_newsletter.png,13,초급
파이썬 입문 with 프로그래머스,한기용 / Max,,프로그래머스,https://school.programmers.co.kr/learn/courses/16496/16496-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%9E%85%EB%AC%B8-with-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%A8%B8%EC%8A%A4,50000,,https://grepp-programmers.s3.amazonaws.com/production/file_resource/2880/Thumnail_python_with_prgms_newsletter.png,9,"python3,입문"
쉬운 SQL 프로그래머스 문제 함께풀기,유나,,프로그래머스,https://school.programmers.co.kr/learn/courses/16452/16452-%EC%89%AC%EC%9A%B4-sql-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%A8%B8%EC%8A%A4-%EB%AC%B8%EC%A0%9C-%ED%95%A8%EA%BB%98%ED%92%80%EA%B8%B0,37000,,https://asset.programmers.co.kr/production/course_intro/16452/unnamed%20%281%29.png,7,"mysql,초급"
Spring 개발자를 위한 클라우드 입문 with 프로그래머스,박주형,,프로그래머스,https://school.programmers.co.kr/learn/courses/16113/16113-spring-%EA%B0%9C%EB%B0%9C%EC%9E%90%EB%A5%BC-%EC%9C%84%ED%95%9C-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EC%9E%85%EB%AC%B8-with-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%A8%B8%EC%8A%A4,100000,,https://grepp-programmers.s3.amazonaws.com/production/file_resource/2977/Thumnail_spring_with_prgms.png,1,
Flutter 앱 개발 기초,DevStory,,프로그래머스,https://school.programmers.co.kr/learn/courses/16321/16321-flutter-%EC%95%B1-%EA%B0%9C%EB%B0%9C-%EA%B8%B0%EC%B4%88,64900,,https://asset.programmers.co.kr/production/course_intro/16321/%E1%84%8A%E1%85%A5%E1%86%B7%E1%84%82%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF.png,7,입문
[도서실습] 프로그래머스 코딩 테스트 문제 풀이 전략: 파이썬편,,,프로그래머스,https://school.programmers.co.kr/learn/courses/16566/16566-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%A8%B8%EC%8A%A4-%EC%BD%94%EB%94%A9-%ED%85%8C%EC%8A%A4%ED%8A%B8-%EB%AC%B8%EC%A0%9C-%ED%92%80%EC%9D%B4-%EC%A0%84%EB%9E%B5-%ED%8C%8C%EC%9D%B4%EC%8D%AC%ED%8E%B8,0,,https://grepp-programmers.s3.amazonaws.com/production/file_resource/3001/pythontn.png,335,
